"","date_from","weekly_mean_pos_ht","sum_remuneration.x","sum_power.x","average","weekly_mean_pos_nt","sum_remuneration.y","sum_power.y","price"
"128",2017-06-12,68.3846783625731,168257.85,2126,79.1429209783631,195.597307692308,503275.68,2168,135.019865154339
"129",2017-06-19,61.2312941176471,152819.41,2139,71.4443244506779,193.965568181818,499275.99,2168,130.758771008403
"130",2017-06-26,54.4063291139241,143571.58,2142,67.0268814192344,193.106923076923,518067.4,2173,127.059021189781
"131",2017-07-03,56.0188414634146,147380.52,2182,67.5437763519707,203.882275449102,559431.13,2210,133.471116408298
"132",2017-07-10,60.6411585365854,155459.4,2145,72.4752447552448,221.685611111111,597914.13,2216,144.997776551813
"133",2017-07-17,67.6197368421053,192043.56,2181,88.052984869326,250.483389830508,647058.94,2184,163.405459836031
"134",2017-07-24,75.4424503311258,203218.77,2154,94.3448328690808,259.986,679475.13,2168,172.108119205298
"135",2017-07-31,67.793602484472,180853.16,2153,84.0005387830934,246.104046242775,663353.59,2188,161.194311119773
"136",2017-08-07,61.9116666666667,167003.97,2182,76.5371081576535,226.454567901235,627230.71,2204,148.100805408583
"137",2017-08-14,55.1819512195122,153812.22,2185,70.3946086956522,323.415986842105,684198.59,2162,195.68549368849
"138",2017-08-21,48.9711842105263,140342.26,2185,64.2298672768879,215.680314465409,591590.1,2171,136.295014344036
"139",2017-08-28,45.1827272727273,127791.48,2173,58.8087804878049,213.104022988506,610885.41,2235,133.141501219087
"140",2017-09-04,41.2649689440994,115078.55,2177,52.8610702802021,212.109798994975,561002.61,2200,130.755118018368
"141",2017-09-11,39.3516993464052,109334.55,2174,50.291881324747,206.523351351351,549259.09,2200,126.917802777567
"142",2017-09-18,40.3951592356688,110413.35,2158,51.1646663577386,211.77585106383,570664.56,2220,130.165997812325
"143",2017-09-25,39.4880124223602,107871.72,2157,50.0100695410292,216.925505617978,568850.81,2186,132.431461239112
"144",2017-10-02,35.0399315068493,99897.72,2143,46.6158282781148,207.387288135593,547454.95,2164,125.317118312382
"145",2017-10-09,34.7398611111111,104370.33,2126,49.092347130762,198.838876404494,531741.22,2153,120.69648816955
"146",2017-10-16,55.0197333333333,135508.09,2109,64.2522949265055,230.638779069767,590725.04,2166,147.010662052418
"147",2017-10-23,121.194569536424,216842.79,2110,102.76909478673,262.026140350877,643571.9,2105,194.96348758209
"148",2017-10-30,117.175875,236931.85,2132,111.131261726079,279.788011695906,695331.85,2101,202.353660888332
"149",2017-11-06,292.781012658228,409791.26,2113,193.938125887364,288.082405063291,704609.06,2091,290.319837251356
"150",2017-11-13,318.861935483871,515604.41,2102,245.292297811608,287.29098265896,688688.58,2097,302.324769718441
"151",2017-11-20,309.753167701863,573307.3,2116,270.939177693762,280.178771929825,670664.53,2102,294.261817535557
"152",2017-11-27,329.271552795031,619285.21,2126,291.291255879586,266.548430232558,635716.39,2097,296.416583833736
"153",2017-12-04,300.877515151515,550608.24,2093,263.071304347826,294.860760233918,631923.28,2108,297.72588162325
"154",2017-12-11,333.54801242236,543603.95,2100,258.859023809524,252.57100591716,558211.99,2093,291.13148520535
"155",2017-12-18,363.01335483871,573075.41,2093,273.805738174869,285.802580645161,587722.88,2120,322.569615975422
"156",2017-12-25,277.72568627451,595534.97,2104,283.048940114068,413.802386363636,863341.84,2107,349.003957749767
